[2024-04-18 22:21:40,573] INFO _log() L224   * Restarting with watchdog (windowsapi) - call_trace=C:\ProgramData\anaconda3\Lib\site-packages\werkzeug\_internal.py L224 
[2024-04-18 22:24:26,289] INFO _log() L224  127.0.0.1 - - [18/Apr/2024 22:24:26] "GET /estados HTTP/1.1" 200 - - call_trace=C:\ProgramData\anaconda3\Lib\site-packages\werkzeug\_internal.py L224 
[2024-04-18 22:24:27,988] INFO _log() L224  127.0.0.1 - - [18/Apr/2024 22:24:27] "GET /estados HTTP/1.1" 200 - - call_trace=C:\ProgramData\anaconda3\Lib\site-packages\werkzeug\_internal.py L224 
[2024-04-18 22:25:40,244] INFO _log() L224  127.0.0.1 - - [18/Apr/2024 22:25:40] "GET /estados HTTP/1.1" 200 - - call_trace=C:\ProgramData\anaconda3\Lib\site-packages\werkzeug\_internal.py L224 
[2024-04-18 22:25:40,955] INFO _log() L224  127.0.0.1 - - [18/Apr/2024 22:25:40] "GET /estados HTTP/1.1" 200 - - call_trace=C:\ProgramData\anaconda3\Lib\site-packages\werkzeug\_internal.py L224 
[2024-04-18 22:26:00,741] INFO _log() L224  127.0.0.1 - - [18/Apr/2024 22:26:00] "GET /estados HTTP/1.1" 200 - - call_trace=C:\ProgramData\anaconda3\Lib\site-packages\werkzeug\_internal.py L224 
[2024-04-18 22:26:43,338] INFO _log() L224  127.0.0.1 - - [18/Apr/2024 22:26:43] "GET /estados HTTP/1.1" 200 - - call_trace=C:\ProgramData\anaconda3\Lib\site-packages\werkzeug\_internal.py L224 
[2024-04-18 22:27:42,427] INFO _log() L224  127.0.0.1 - - [18/Apr/2024 22:27:42] "GET /estados HTTP/1.1" 200 - - call_trace=C:\ProgramData\anaconda3\Lib\site-packages\werkzeug\_internal.py L224 
[2024-04-18 22:27:55,880] INFO _log() L224  127.0.0.1 - - [18/Apr/2024 22:27:55] "GET /estados HTTP/1.1" 200 - - call_trace=C:\ProgramData\anaconda3\Lib\site-packages\werkzeug\_internal.py L224 
[2024-04-18 22:28:07,622] INFO _log() L224  127.0.0.1 - - [18/Apr/2024 22:28:07] "GET /estados HTTP/1.1" 200 - - call_trace=C:\ProgramData\anaconda3\Lib\site-packages\werkzeug\_internal.py L224 
[2024-04-18 22:28:12,620] INFO _log() L224  127.0.0.1 - - [18/Apr/2024 22:28:12] "GET /estados HTTP/1.1" 200 - - call_trace=C:\ProgramData\anaconda3\Lib\site-packages\werkzeug\_internal.py L224 
[2024-04-18 22:28:45,669] INFO _log() L224  127.0.0.1 - - [18/Apr/2024 22:28:45] "OPTIONS /estado HTTP/1.1" 200 - - call_trace=C:\ProgramData\anaconda3\Lib\site-packages\werkzeug\_internal.py L224 
[2024-04-18 22:28:45,675] WARNING add_estado() L64   Erro ao adicionar Estado 'Rio de Janeiro', Estado de mesmo nome já salvo na base :/ - call_trace=C:\Users\sp-xa\OneDrive\Área de Trabalho\api_python\app.py L64  
[2024-04-18 22:28:45,676] INFO _log() L224  127.0.0.1 - - [18/Apr/2024 22:28:45] "[31m[1mPOST /estado HTTP/1.1[0m" 409 - - call_trace=C:\ProgramData\anaconda3\Lib\site-packages\werkzeug\_internal.py L224 
[2024-04-18 22:30:51,719] INFO _log() L224  127.0.0.1 - - [18/Apr/2024 22:30:51] "GET /estados HTTP/1.1" 200 - - call_trace=C:\ProgramData\anaconda3\Lib\site-packages\werkzeug\_internal.py L224 
[2024-04-18 22:30:53,351] INFO _log() L224  127.0.0.1 - - [18/Apr/2024 22:30:53] "GET /estados HTTP/1.1" 200 - - call_trace=C:\ProgramData\anaconda3\Lib\site-packages\werkzeug\_internal.py L224 
[2024-04-18 22:31:49,735] WARNING get_produto() L115  Erro ao buscar estado '33', Estado não encontrado na base :/ - call_trace=C:\Users\sp-xa\OneDrive\Área de Trabalho\api_python\app.py L115 
[2024-04-18 22:31:49,736] INFO _log() L224  127.0.0.1 - - [18/Apr/2024 22:31:49] "[33mGET /estado?id=33 HTTP/1.1[0m" 404 - - call_trace=C:\ProgramData\anaconda3\Lib\site-packages\werkzeug\_internal.py L224 
[2024-04-18 22:32:05,964] INFO _log() L224  127.0.0.1 - - [18/Apr/2024 22:32:05] "GET /estado?id=35 HTTP/1.1" 200 - - call_trace=C:\ProgramData\anaconda3\Lib\site-packages\werkzeug\_internal.py L224 
[2024-04-18 22:33:48,670] INFO _log() L224  127.0.0.1 - - [18/Apr/2024 22:33:48] "GET /estados HTTP/1.1" 200 - - call_trace=C:\ProgramData\anaconda3\Lib\site-packages\werkzeug\_internal.py L224 
[2024-04-18 22:33:58,373] INFO _log() L224  127.0.0.1 - - [18/Apr/2024 22:33:58] "GET /estados HTTP/1.1" 200 - - call_trace=C:\ProgramData\anaconda3\Lib\site-packages\werkzeug\_internal.py L224 
[2024-04-18 22:34:11,031] INFO _log() L224  127.0.0.1 - - [18/Apr/2024 22:34:11] "OPTIONS /estado?id=33 HTTP/1.1" 200 - - call_trace=C:\ProgramData\anaconda3\Lib\site-packages\werkzeug\_internal.py L224 
[2024-04-18 22:34:11,036] WARNING del_estado() L145  Erro ao deletar estado #'33', estado não encontrado na base :/ - call_trace=C:\Users\sp-xa\OneDrive\Área de Trabalho\api_python\app.py L145 
[2024-04-18 22:34:11,037] INFO _log() L224  127.0.0.1 - - [18/Apr/2024 22:34:11] "[33mDELETE /estado?id=33 HTTP/1.1[0m" 404 - - call_trace=C:\ProgramData\anaconda3\Lib\site-packages\werkzeug\_internal.py L224 
[2024-04-18 22:34:14,604] INFO _log() L224  127.0.0.1 - - [18/Apr/2024 22:34:14] "GET /estados HTTP/1.1" 200 - - call_trace=C:\ProgramData\anaconda3\Lib\site-packages\werkzeug\_internal.py L224 
[2024-04-18 22:34:19,173] INFO _log() L224  127.0.0.1 - - [18/Apr/2024 22:34:19] "GET /estados HTTP/1.1" 200 - - call_trace=C:\ProgramData\anaconda3\Lib\site-packages\werkzeug\_internal.py L224 
[2024-04-18 22:34:26,277] INFO _log() L224  127.0.0.1 - - [18/Apr/2024 22:34:26] "GET /estados HTTP/1.1" 200 - - call_trace=C:\ProgramData\anaconda3\Lib\site-packages\werkzeug\_internal.py L224 
[2024-04-18 22:34:40,605] INFO _log() L224  127.0.0.1 - - [18/Apr/2024 22:34:40] "DELETE /estado?id=54 HTTP/1.1" 200 - - call_trace=C:\ProgramData\anaconda3\Lib\site-packages\werkzeug\_internal.py L224 
